User_ID,Gender,Age,Height,Weight,Duration,Heart_Rate,Body_Temp,Calories
10001159,female,67,176,74,12,103,39.6,76
10001607,female,34,178,79,19,96,40.6,93
10005485,female,38,178,77,14,82,40.5,49
10005630,female,39,169,66,8,90,39.6,36
10006441,male,23,169,73,25,102,40.7,122
10006606,male,50,183,89,23,96,40.4,130
10007368,female,21,185,80,12,103,39.9,65
10007686,female,47,145,47,7,84,39.6,30
10008086,male,56,165,74,25,93,40.8,129
10008486,female,53,157,65,10,97,39.9,55
10008599,male,24,180,81,27,94,40.6,106
10011152,female,22,145,43,9,77,39.9,28
10011812,female,62,,50,10,93,39.9,55
10011832,male,62,196,97,30,112,40.8,264
10011980,male,33,197,101,1,80,38.2,3
10012654,female,40,157,57,23,104,40.7,142
10012801,female,25,170,62,19,96,40.5,95
10013063,female,71,153,56,11,94,40,62
10013882,male,52,160,68,5,79,39,14
10014515,female,38,164,,8,90,39.8,36
10014651,female,43,156,54,24,108,40.9,160
10015652,male,34,156,65,16,96,40.1,70
10016768,female,67,161,57,18,94,40.3,100
10018110,male,26,174,79,1,74,37.7,1
10018244,male,21,191,95,18,89,40.6,60
10018305,male,29,167,71,2,,37.9,3
10018455,female,20,158,54,25,108,40.7,157
10018548,female,33,163,59,14,95,40.3,71
10020017,male,20,192,95,15,95,40.1,63
10020368,female,22,151,50,7,98,39.5,37
10020479,female,35,173,71,29,114,41,202
10021419,female,63,159,62,29,104,40.4,189
10022050,male,57,195,93,24,106,40.7,182
10022370,male,38,197,94,3,83,38.5,10
10023167,male,39,188,91,24,104,40.8,153
10023275,female,35,168,61,12,99,39.5,66
10023509,male,61,167,74,10,86,40.1,43
10024532,male,34,171,68,14,87,40.5,43
10026750,female,48,171,70,13,95,40.4,67
10027237,male,30,181,79,10,95,40.1,43
10027476,male,70,167,76,19,97,40.6,123
10028049,male,40,180,78,14,89,,54
10028780,female,20,170,67,,93,40.3,76
10029283,female,49,164,59,27,104,40.8,170
10029318,female,57,176,74,12,94,40.1,62
10029380,female,64,176,77,27,112,40.8,194
10029469,female,28,163,66,21,99,40.8,111
10030155,female,49,185,79,27,102,41.2,157
10030257,male,21,182,82,3,92,38.6,10
10030610,male,62,196,93,26,106,40.8,203
10030937,male,41,176,74,25,105,41,156
10031845,female,51,167,62,3,87,38.7,13
10034058,male,79,172,75,11,89,40.1,62
10034236,female,27,149,55,25,98,40.6,133
10038035,male,26,185,86,3,83,38.8,7
10038255,female,69,191,88,6,82,38.8,23
10038366,male,43,170,78,23,104,40.5,144
10039189,female,53,166,54,17,101,40.2,104
10039572,female,26,177,75,,89,40,49
10041182,female,47,173,67,2,86,38.1,8
10041318,male,57,195,98,4,89,38.8,20
10041638,male,26,184,85,17,96,40.4,75
10042786,female,53,166,68,29,105,40.8,184
10042815,female,28,155,55,11,84,39.9,42
10043979,female,71,,56,15,98,40.2,91
10044030,male,76,187,92,22,104,40.6,180
10044198,male,69,185,85,30,113,40.7,271
10044742,female,35,163,61,27,113,40.7,189
10044774,male,32,189,89,19,104,40,114
10045428,female,75,166,68,12,90,40.1,62
10045701,male,52,195,101,7,95,39.7,41
10046234,male,71,205,,20,95,40.7,141
10046288,male,53,161,66,8,87,39.5,31
10047325,male,21,206,114,17,103,40.3,99
10047498,male,34,197,92,14,103,40.3,84
10048196,male,48,181,91,28,104,40.9,190
10048606,female,49,167,68,29,107,40.9,188
10049887,female,54,162,64,15,90,40.2,72
10050978,male,51,181,87,9,91,39.6,44
10052269,male,28,195,100,22,107,41,142
10052574,female,52,157,56,26,110,40.8,183
10053023,male,37,185,,18,105,40.7,111
10054414,female,35,156,57,3,84,38.3,12
10054672,male,30,180,84,16,98,40.1,78
10055434,male,28,202,99,15,88,39.9,54
10056790,male,54,181,90,12,94,40,67
10057403,female,61,162,66,10,84,39.8,43
10058690,male,61,197,104,28,108,41.1,232
10059915,female,75,153,62,11,87,40,54
10060589,male,54,187,88,8,92,39.3,42
10060820,male,45,175,76,15,84,40.5,50
10061627,male,51,173,77,4,78,,11
10062219,female,39,187,87,13,101,40.2,70
10065149,male,36,182,82,8,90,39.5,31
10065742,female,30,176,73,9,80,39.6,29
10065831,male,36,174,78,13,92,40.1,54
10067056,male,26,177,80,13,,39.9,54
10067456,female,39,169,62,29,113,41,204
10067637,female,51,170,71,16,100,40.3,92
10067859,male,53,196,97,27,108,40.9,210
10068396,female,34,173,69,22,104,40.7,130
10068443,female,43,166,62,8,86,39.4,34
10069305,female,44,159,59,10,90,39.7,47
10069648,male,37,196,91,28,110,41,201
10072090,male,39,194,99,17,95,40.2,88
10072185,female,24,167,62,17,88,40.3,70
10072374,male,68,190,95,15,94,40.2,95
10072548,male,65,178,84,17,99,40.3,114
10072811,male,24,175,78,4,81,39.1,8
10072976,male,27,172,71,29,109,40.6,177
10073254,female,41,159,60,18,97,40.8,97
10074404,male,72,172,82,19,107,40.5,156
10076869,male,28,192,92,14,93,40.3,59
10077039,female,34,156,,17,93,40.3,83
10077557,female,37,164,60,17,102,40.2,100
10078779,male,38,182,88,9,94,39.7,43
10078782,female,36,153,57,28,113,41,198
10078938,female,26,158,58,7,85,39.8,27
10079137,male,21,199,95,13,90,39.9,45
10079483,male,46,183,81,8,86,39.5,30
